date;seconds;direction;bid;ask;price
26/03/2001;43274;-1;66.00;66.15;66.00
26/03/2001;43365;-1;65.90;65.95;65.90
26/03/2001;43517;1;65.75;65.85;65.85
26/03/2001;43616;1;65.85;65.90;65.91
26/03/2001;43671;1;65.85;66.00;66.00
26/03/2001;43703;1;65.85;66.00;66.00
26/03/2001;43865;-1;65.85;66.00;65.85
26/03/2001;43909;1;65.85;66.00;66.00
26/03/2001;43941;-1;66.00;66.15;66.00
26/03/2001;43991;1;65.85;66.15;66.15
26/03/2001;44047;1;65.70;66.05;66.05
26/03/2001;44115;1;65.70;66.00;66.00
26/03/2001;44203;-1;65.90;66.15;65.90
26/03/2001;44312;1;65.95;66.15;66.15
26/03/2001;44328;1;65.95;66.15;66.17
26/03/2001;44340;1;65.95;66.10;66.13
26/03/2001;44456;1;66.35;66.60;66.60
26/03/2001;44483;1;66.40;66.60;66.65
26/03/2001;44893;-1;66.00;66.55;66.00
26/03/2001;45244;-1;66.30;66.45;66.30
26/03/2001;45518;-1;66.25;66.35;66.25
26/03/2001;45543;-1;66.25;66.35;66.25
26/03/2001;45869;1;66.20;66.30;66.30
26/03/2001;45870;1;66.20;66.30;66.30
26/03/2001;45874;1;66.20;66.30;66.30
26/03/2001;45947;1;66.30;66.35;66.35
26/03/2001;45952;1;66.30;66.35;66.35
26/03/2001;45957;-1;66.30;66.35;66.30
26/03/2001;46095;-1;66.25;66.30;66.25
26/03/2001;46106;-1;66.25;66.30;66.25
26/03/2001;46190;-1;66.25;66.30;66.25
26/03/2001;46391;-1;66.05;66.20;66.05
26/03/2001;46443;1;66.05;66.20;66.20
26/03/2001;46780;-1;66.05;66.15;66.04
26/03/2001;46789;1;66.00;66.15;66.15
26/03/2001;47089;-1;66.10;66.25;66.10
26/03/2001;47370;-1;66.05;66.10;66.05
26/03/2001;47418;-1;66.05;66.10;66.05
26/03/2001;47457;-1;66.05;66.10;66.05
26/03/2001;47486;-1;66.05;66.10;66.05
26/03/2001;47534;-1;66.00;66.05;66.00
26/03/2001;47540;-1;66.00;66.05;66.00
26/03/2001;47541;-1;66.00;66.05;66.00
26/03/2001;47696;-1;66.00;66.05;66.00
26/03/2001;47718;-1;66.00;66.05;66.00
26/03/2001;47744;-1;66.00;66.05;66.00
26/03/2001;47749;-1;66.00;66.05;66.00
26/03/2001;47756;-1;66.00;66.05;66.00
26/03/2001;47760;-1;66.00;66.05;66.00
26/03/2001;47765;-1;66.00;66.05;66.00
26/03/2001;47772;-1;66.00;66.05;66.00
26/03/2001;47780;-1;66.00;66.05;66.00
26/03/2001;47785;-1;65.90;66.05;65.90
26/03/2001;47822;1;65.70;66.00;66.00
26/03/2001;47929;-1;65.75;66.00;65.75
26/03/2001;48043;1;65.75;65.90;65.90
26/03/2001;48210;1;65.75;65.80;65.80
26/03/2001;48230;-1;65.75;65.80;65.75
26/03/2001;48235;-1;65.75;65.80;65.75
26/03/2001;48239;-1;65.75;65.80;65.75
26/03/2001;48240;-1;65.75;65.80;65.75
26/03/2001;48381;-1;65.75;65.80;65.75
26/03/2001;48506;1;65.75;65.80;65.80
26/03/2001;48527;1;65.75;65.85;65.85
26/03/2001;48543;1;65.75;65.80;65.80
26/03/2001;48646;1;65.75;65.80;65.80
26/03/2001;48670;-1;65.75;65.80;65.75
26/03/2001;48699;1;65.75;66.00;66.00
