date;time;price;q;direction
19/09/2003;101044;137.7;590;1
19/09/2003;101046;137.7;5;1
19/09/2003;101047;137.7;289;1
19/09/2003;101100;137.7;280;1
19/09/2003;101109;137.7;226;1
19/09/2003;101124;137.6;139;-1
19/09/2003;101214;137.6;139;-1
19/09/2003;101222;137.6;11600;-1
19/09/2003;101224;137.6;139;-1
19/09/2003;101250;137.6;1509;-1
19/09/2003;101252;137.5;157;-1
19/09/2003;101327;137.5;139;-1
19/09/2003;101337;137.6;150;1
19/09/2003;101355;137.5;139;-1
19/09/2003;101356;137.5;100;-1
19/09/2003;101358;137.5;13;-1
19/09/2003;101505;137.6;1500;1
19/09/2003;101507;137.5;10;-1
19/09/2003;101511;137.6;425;1
19/09/2003;101542;137.5;4960;-1
19/09/2003;101545;137.6;69;1
19/09/2003;101551;137.6;11;1
19/09/2003;101552;137.6;30;1
19/09/2003;101553;137.6;1081;1
19/09/2003;101559;137.6;590;1
19/09/2003;101601;137.6;963;1
19/09/2003;101607;137.6;626;1
19/09/2003;101610;137.54496;2224;-1
19/09/2003;101619;137.6;266;1
19/09/2003;101622;137.6;234;1
19/09/2003;101622;137.6;234;1
19/09/2003;101624;137.6;100;1
19/09/2003;101626;137.5;156;-1
19/09/2003;101630;137.6;350;1
19/09/2003;101724;137.5;89;-1
19/09/2003;101739;137.5;2500;-1
19/09/2003;101756;137.5;1000;-1
19/09/2003;101801;137.5;48;-1
19/09/2003;101803;137.6;804;1
19/09/2003;101807;137.5;500;-1
19/09/2003;101808;137.5;101;-1
19/09/2003;101827;137.5;50;-1
19/09/2003;101919;137.6;1405;1
19/09/2003;101944;137.6;903;1
19/09/2003;101956;137.6;25;1
19/09/2003;102022;137.6;560;1
19/09/2003;102032;137.5;225;-1
19/09/2003;102051;137.6;615;1
19/09/2003;102123;137.5;2225;-1
19/09/2003;102127;137.5;1000;-1
19/09/2003;102152;137.5;3000;-1
19/09/2003;102202;137.5;1389;-1
19/09/2003;102205;137.5;728;-1
19/09/2003;102206;137.5;332;-1
19/09/2003;102210;137.5;48;1
19/09/2003;102217;137.4;93;-1
19/09/2003;102229;137.4;800;-1
19/09/2003;102239;137.4;100;-1
19/09/2003;102242;137.5;20;1
19/09/2003;102251;137.4;170;-1
19/09/2003;102328;137.5;115;1
19/09/2003;102334;137.5;50;1
19/09/2003;102339;137.4;500;-1
19/09/2003;102359;137.5;130;1
19/09/2003;102413;137.4;86;-1
19/09/2003;102434;137.4;30;-1
19/09/2003;102435;137.5;50;1
19/09/2003;102510;137.5;134;1
19/09/2003;102542;137.4;190;-1
19/09/2003;102616;137.5;10;1
19/09/2003;102618;137.4;1500;-1
19/09/2003;102622;137.4;1419;-1
19/09/2003;102741;137.5;711;1
19/09/2003;102742;137.5;789;1
19/09/2003;102742;137.4;25;-1
19/09/2003;102753;137.4;150;-1
19/09/2003;102759;137.4;22;-1
19/09/2003;102813;137.4;213;-1
19/09/2003;102831;137.5;4000;1
19/09/2003;102831;137.5;217;1
19/09/2003;102832;137.5;283;-1
19/09/2003;102833;137.5;15;1
19/09/2003;102835;137.4;190;-1
19/09/2003;102854;137.5;332;1
19/09/2003;102908;137.6;100;1
19/09/2003;102914;137.6;30;1
19/09/2003;102919;137.5;2000;-1
19/09/2003;102920;137.5;1142;-1
19/09/2003;102921;137.5;200;-1
19/09/2003;102922;137.5;1000;-1
19/09/2003;102923;137.5;561;-1
19/09/2003;102935;137.5;540;1
19/09/2003;102949;137.5;15;-1
19/09/2003;103011;137.6;2500;1
19/09/2003;103017;137.6;12;1
19/09/2003;103020;137.5;577;-1
19/09/2003;103030;137.5;7;-1
